INSPEC	CVSO	TIC	Per
P	4	249067805	1.648
P	16	4200608	3.247
P	21	4250196	4.271
P	23	269117627	5.295
P	220	264483787	4.745
P	223	264484033	7.143
P	38	264486054	3.546
P	230	264486098	2.847
P	53	50618645	2.023
P	63	50624977	0.4
P	68	50657599	4.021
P	241	50787611	0.774
P	243	50749835	7.917
P	253	427347067	6.369
P	254	427347161	6.643
P	127	427348032	8.816
P	258	427350194	3.746
P	130	427348886	4.97
P	138	427377141	4.545
P	150	427451793	1.324
P	159	11199488	3.297
P	166	11289268	11.114
P	167	11290432	4.146
P	172	11296707	1.823
P	191	72783371	2.847
P	196	158865434	1.623
P	267	213068369	4.396
P	268	213070500	6.743
P	276	455006270	4.021
P	286	248397244	3.696
P	290	248402922	4.595
P	291	248402021	1.698
P	305	248438668	7.443
P	308	248441047	6.643
P	309	248442798	4.121
P	317	248448476	6.693
P	324	248472861	2.523
P	332	248997746	0.3
P	333	248999273	8.966
P	340	249024105	5.245
P	355	249034751	5.345
P	371	249040641	8.641
P	373	249041589	1.224
P	385	249065257	2.523
P	388	249066086	0.974
P	389	249070080	3.821
P	425	249074941	8.217
P	443	24457219	15.659
P	446	4068446	0.525
P	448	4069106	3.347
P	450	24457226	3.497
P	563	264594083	0.749
P	590	264593799	1.024
P	596	264620959	3.646
P	597	4204377	5.52
P	607	264621792	11.039
P	608	264624119	7.268
P	614	264621627	1.249
P	629	269117909	5.445
P	634	269118573	8.916
P	644	269117489	6.519
P	670	4255199	6.344
P	676	4255301	7.368
P	688	4253713	1.074
P	702	4289400	3.796
P	709	264459492	5.22
P	736	4256384	8.117
P	748	4294982	1.374
P	754	4292885	1.224
P	777	264462004	2.098
P	795	264483603	2.572
P	801	4349919	0.674
P	827	4295883	7.118
P	839	4356650	5.819
P	850	4355516	3.946
P	858	264486242	4.895
P	868	264541704	2.972
P	881	4378577	1.823
P	883	264540967	7.368
P	894	4357552	5.22
P	905	457230103	11.214
P	908	457230734	0.425
P	949	50529732	4.371
P	954	457232031	2.298
P	972	457249272	6.743
P	2021	264630107	5.12
P	2040	50897434	2.547
P	2058	50620332	5.495
P	2072	50898518	4.845
P	2093	427377361	3.571
P	1004	464838828	7.792
P	1045	50583173	8.591
P	1067	264631412	3.522
P	1078	264630028	2.997
P	1109	50619713	7.817
P	1120	264682672	2.997
P	1132	264681846	6.718
P	1135	264683777	5.719
P	1144	264682835	1.598
P	1149	264682414	1.149
P	1152	50620064	2.897
P	1226	264743872	5.969
P	1662	50663288	1.474
P	1231	50658278	5.869
P	1234	264741903	6.893
P	1250	50657993	2.173
P	1262	50663288	1.474
P	1279	138853092	5.694
P	1289	138856851	5.17
P	1291	138856923	1.623
P	1301	138856064	2.897
P	1320	34512046	4.171
P	1331	50744712	2.023
P	1352	50788592	1.199
P	1354	50788541	6.119
P	1355	138936031	4.046
P	1367	50792586	0.974
P	1382	50792978	3.022
P	1390	50792840	17.083
P	1393	138979013	7.043
P	1396	50793736	0.774
P	1402	50793259	4.471
P	1413	201368989	2.797
P	1419	50793763	0.924
P	1430	50794213	4.77
P	1432	427459760	3.621
P	1442	427334544	7.867
P	1448	427334515	0.899
P	1454	427348452	0.5
P	1456	427333795	3.097
P	1458	427334485	5.12
P	1461	427333791	3.072
P	1468	427352020	1.424
P	1488	427353242	2.098
P	1497	427353189	3.896
P	1505	427352401	4.071
P	1514	427373517	4.396
P	1520	427374378	2.348
P	1521	427378173	5.37
P	1542	427353263	4.121
P	1547	427373531	2.048
P	1551	388917945	6.369
P	1558	427393444	8.042
P	1562	388917947	5.42
P	1593	427392739	5.295
P	1595	427393468	0.924
P	1599	388918012	0.949
P	1618	427397434	9.141
P	1619	427396099	11.064
P	1625	427397193	6.868
P	1647	427449724	0.549
P	1655	427397130	11.239
P	1657	427396839	8.766
P	1673	427453796	0.974
P	1678	427454041	9.59
P	1689	427455156	6.219
P	1703	388935533	1.573
P	1708	427455170	7.642
P	1709	427455170	7.642
P	1732	343863895	6.094
P	1737	276661118	0.824
P	1760	276661596	5.594
P	1766	332856474	0.674
P	1771	332856553	2.847
P	1782	11196241	0.774
P	1794	11200230	6.643
P	1808	11200179	4.171
P	1814	11202269	3.447
P	1861	11289122	0.724
P	1877	11296604	7.867
P	1897	11299180	3.871
P	1911	199885611	0.549
P	1920	11454059	8.791
P	1924	11453683	1.299
P	1925	11459354	3.472
P	1931	72781835	2.697
P	1942	72921557	4.745
P	1946	200051715	3.397
P	1963	158817023	9.54
P	2001	459990735	2.073
